Date;Time (UTC);ID;Type;Parameters;Comments;Operator;Miscellaneous
09.04.2019;9:30:00;1;Installation;"Weather station;multiparameter;Campbell;WS-A";Physical installation;Sebastien Lavanchy;LéXPLORE_WeatherStation_FactoryCalibration.pdf
29.07.2019;12:00:00;2;Installation;"Weather station;multiparameter;Campbell;WS-A";Measuring,  on datalakes;Sébastien Lavanchy;
04.12.2019;10:35:00;3;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Sébastien Lavanchy;
12.03.2020;10:02:00;4;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Sébastien Lavanchy;
16.07.2020;10:00:00;5;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Aurélien Ballu;
08.10.2020;10:00:00;6;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Aurélien Ballu;
11.11.2020;10:10:00;7;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Aurélien Ballu;
15.12.2020;9:45:00;8;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Aurélien Ballu;
30.12.2020;0:50:00;9;Issue;"Weather station;multiparameter;Campbell;WS-A";LéXPLORE Power down;Sébastien Lavanchy;
05.01.2021;13:30:00;9;Repair;"Weather station;multiparameter;Campbell;WS-A";LéXPLORE Power ok;Sébastien Lavanchy;
24.02.2021;0:10:00;10;Issue;"Weather station;multiparameter;Campbell;WS-A";intermittent logging issue;Sebastien Lavanchy;
10.03.2021;9:00:00;11;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Aurélien Ballu;
22.03.2021;12:00:00;12;Calibration Factory;"Datalogger;N/A;CR1000X;25713(WS-A)";;Guillaume Cunillera;
22.04.2021;9:30:00;13;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Aurélien Ballu;
30.04.2021;16:30:00;10;Repair;"Weather station;multiparameter;Campbell;WS-A";Repair weather station. OK, but we will still change the logger;Philippe Quetin;
19.07.2021;12:00:00;14;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Philippe Quetin;
11.08.2021;7:12:00;15;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Sébastien Lavanchy;
12.08.2021;0:10:00;16;Out of order;"Datalogger;N/A;CR1000;E11421(WS-A)";Datalogger has too many looging issue;Sébastien Lavanchy;
13.08.2021;18:00:00;16;Installation;"Datalogger;N/A;CR1000X;25713(WS-A)";New CR1000X;Michael Plüss;
27.10.2021;12:00:00;17;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Guillaume Cunillera;certificate_CR1000X-25713.pdf
15.12.2021;12:00:00;18;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Guillaume Cunillera;
12.01.2022;12:00:00;19;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Sébastien Lavanchy;
10.03.2022;12:00:00;20;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Sébastien Lavanchy;
03.05.2022;12:00:00;21;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Sébastien Lavanchy;
10.05.2022;16:00:00;22;Out of order;"tipping bucket raingauge;rainfall;ARG100;164110(WS-A)";end of life;Sébastien Lavanchy;
10.05.2022;12:00:00;23;Calibration Factory;"Temperature and Relative Humidity;Temperature;EE181-M1A1;22181600193879(WS-B)";;Guillaume Cunillera;
10.05.2022;12:00:00;23;Calibration Factory;"Temperature and Relative Humidity;Humidity;EE181-M1A1;22181600193879(WS-B)";;Guillaume Cunillera;
03.06.2022;12:00:00;23;Calibration Factory;"Datalogger;N/A;CR1000X;40347(WS-B)";;Guillaume Cunillera;
09.06.2022;12:00:00;23;Calibration Factory;"tipping bucket raingauge;rainfall;ARG314;222319(WS-A)";;Guillaume Cunillera;
22.06.2022;12:00:00;23;Calibration Factory;"tipping bucket raingauge;rainfall;ARG314;222404(WS-B)";calib files in the 20240516 folder : 2024 WS-A.zip;Guillaume Cunillera;
27.06.2022;12:00:00;23;Calibration Factory;"wind monitor;wind speed;05103;WM193493(WS-B)";;Guillaume Cunillera;
27.06.2022;12:00:00;23;Calibration Factory;"wind monitor;wind direction;05103;WM193493(WS-B)";;Guillaume Cunillera;
25.08.2022;16:40:00;24;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Matteo Gios;
21.09.2022;17:20:00;24;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Philippe Quetin;
26.10.2022;14:00:00;22;Installation;"tipping bucket raingauge;rainfall;ARG314;222319(WS-A)";new rain gauge, new position (South-West);Guillaume Cunillera;ARG314_SN22319.pdf
18.11.2022;12:00:00;25;Calibration Factory;"Pyranometer;Solar radiation;CS300 (SP-110);81111(WS-B)";;Guillaume Cunillera;
25.11.2022;11:00:00;26;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Guillaume Cunillera;
21.12.2022;10:45:00;26;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Matteo Gios;
18.01.2023;10:45:00;26;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Matteo Gios;
01.02.2023;10:00:00;27;Issue;"wind monitor;wind speed;05103;WM150350(WS-A)";there is a slight grinding noise when the propeller turns;Sébastien Lavanchy;
15.02.2023;14:08:00;28;Maintenance;"Weather station;multiparameter;Campbell;WS-A";Cleaning;Floreana Miesen;
22.02.2023;9:30:00;29;Recovery/removal;"Weather station;multiparameter;Campbell;WS-A";Out for factory calibration;Sébastien Lavanchy;
22.02.2023;14:00:00;29;Deployment/reinstalled;"Weather station;multiparameter;Campbell;WS-B";Installation new instrument;Sébastien Lavanchy;
26.03.2023;14:00:00;30;Maintenance;"Weather station;multiparameter;Campbell;WS-B";Cleaning;Matteo Gios;
18.04.2023;11:35:00;31;Maintenance;"Weather station;multiparameter;Campbell;WS-B";Cleaning;Matteo Gios;
24.05.2023;9:00:00;32;Maintenance;"Weather station;multiparameter;Campbell;WS-B";Cleaning;Matteo Gios;
19.06.2023;12:00:00;33;Maintenance;"Weather station;multiparameter;Campbell;WS-B";Cleanng everything except raingauge;Guillaume Cunillera;
20.06.2023;13:00:00;34;Maintenance;"tipping bucket raingauge;rainfall;ARG314;222319(WS-A)";Cleaning raingauge;Guillaume Cunillera;
19.07.2023;9:30:00;35;Maintenance;"Weather station;multiparameter;Campbell;WS-B";cleaning;Guillaume Cunillera;
